yourlist:M2016041565YVM8RPRK	Entry
A1BG	M0R009
A1BG	P04217
A1CF	F8W9F8
A1CF	Q5T0W7
A1CF	Q7Z2U9
A1CF	Q9NQ94
A2M	F5H1E8
A2M	F8W7L3
A2M	H0YFH1
A2M	L0R6B6
A2M	P01023
A2M	Q9BQ22
A2ML1	A8K2U0
A2ML1	F5GXP1
A2ML1	F5GYG7
A2ML1	H0YGG5
A2ML1	H0YH14
A3GALT2	U3KPV4
A4GALT	A0A0S2Z5J1
A4GALT	A0A0S2Z671
A4GALT	B0L3P6
A4GALT	B0L3P7
A4GALT	F2VPV4
A4GALT	F2VPV5
A4GALT	M1KVK7
A4GALT	Q540I5
A4GALT	Q540I6
A4GALT	Q5D079
A4GALT	Q6RJV6
A4GALT	Q6RJV7
A4GALT	Q6RJV8
A4GALT	Q6RJV9
A4GALT	Q6RJW0
A4GALT	Q6RJW1
A4GALT	Q7Z2I1
A4GALT	Q7Z7C2
A4GALT	Q7Z7C3
A4GALT	Q7Z7C4
A4GALT	Q7Z7C5
A4GALT	Q7Z7C6
A4GALT	Q9NPC4
A4GALT	R4X5Z8
A4GALT	S6CPX2
A4GALT	S6CQ09
A4GALT	S6CQT5
A4GALT	S6CRD2
A4GNT	Q9UNA3
AAAS	D9DBS9
AAAS	D9DBT0
AAAS	D9DBT1
AAAS	D9DBT2
AAAS	D9DBT3
AAAS	F8VUB6
AAAS	F8VZ44
AAAS	H3BU82
AAAS	Q9NRG9
AACS	A0A024RBV2
AACS	E7EW25
AACS	L8ECK1
AACS	Q49AJ4
AACS	Q86V21
AADAC	C9K0E9
AADAC	P22760
AADACL2	F8WFE5
AADACL2	Q6P093
AADACL3	Q5VUY0
AADACL4	L8E711
AADACL4	Q5VUY2
AADAT	D6RC56
AADAT	D6REB9
AADAT	D6RFY7
AADAT	Q4W5N8
AADAT	Q8N5Z0
AAED1	H0Y5J5
AAED1	H0Y7F1
AAED1	Q7RTV5
AAGAB	H0YL49
AAGAB	Q6PD74
AAK1	A0A096LNZ0
AAK1	A0A096LP25
AAK1	A0A096LP60
AAK1	B7ZLC4
AAK1	D6W5G0
AAK1	E9PG46
AAK1	L0R804
AAK1	Q2M2I8
AAK1	Q9BUD9
AAMDC	E9PIQ4
AAMDC	E9PJP1
AAMDC	E9PLK9
AAMDC	E9PNP3
AAMDC	E9PR47
AAMDC	H0YF35
AAMDC	K4DI89
AAMDC	Q9H7C9
AAMP	A0A024R410
AAMP	C9JEH3
AAMP	C9JG97
AAMP	C9JTS3
AAMP	H7C0R2
AAMP	Q13685
AANAT	F1T0I5
AANAT	K7ERF6
AANAT	K7ESH7
AANAT	Q16613
AANAT	Q9GZS4
AANAT	Q9H3S9
AANAT	Q9H3T0
AANAT	Q9H3T1
AAR2	A2A2Q9
AAR2	Q9Y312
AARD	Q4LEZ3
AARS	H3BPK7
AARS	P49588
AARS2	A2VCL8
AARS2	Q5JTZ9
AASDH	D6RJA2
AASDH	E9PH98
AASDH	Q4L235
AASDH	R4GNB1
AASDHPPT	E9PLW6
AASDHPPT	E9PNF3
AASDHPPT	Q9NRN7
AASS	A4D0W4
AASS	F8WAH1
AASS	F8WE53
AASS	H7C0C6
AASS	Q9UDR5
AATF	A0A087WTH8
AATF	A0A087WW41
AATF	A0A087WWS8
AATF	Q9NY61
AATK	H7C175
AATK	I3L360
