Gene.symbol,adj.P.Val,negLog
IGF2,2.15E-10,9.66756154
MSMO1,5.92E-09,8.227678293
FXYD2,7.66E-09,8.11577123
GTF2IRD2B,1.08E-08,7.966576245
H3F3AP4,2.13E-08,7.671620397
TEDDM1,3.79E-08,7.42136079
ROPN1B,6.25E-08,7.204119983
FBLN2,9.90E-08,7.004364805
OR52B6,1.03E-07,6.987162775
SPC25,1.07E-07,6.970616222
EPHB1,1.15E-07,6.93930216
MTPAP,1.77E-07,6.752026734
HNRNPH1,1.90E-07,6.721246399
PRKCB,1.90E-07,6.721246399
ARPC2,2.19E-07,6.659555885
SYNJ1,2.19E-07,6.659555885
TNFRSF9,2.19E-07,6.659555885
ACPT,2.32E-07,6.634512015
HRCT1,2.42E-07,6.616184634
HIST1H3F,2.52E-07,6.598599459
AGAP9,2.79E-07,6.554395797
OTP,3.74E-07,6.427128398
NUDT4P1,4.06E-07,6.391473966
ASH1L,4.28E-07,6.368556231
FAM155B,4.28E-07,6.368556231
OR1N1,4.28E-07,6.368556231
LGMN,4.63E-07,6.334419009
GNAT1,4.74E-07,6.324221658
MEFV,4.91E-07,6.308918508
TEF,5.09E-07,6.293282218
PTP4A2,5.53E-07,6.257274869
ATOH8,6.00E-07,6.22184875
PCGF3,6.07E-07,6.216811309
CSHL1,6.29E-07,6.201349355
ZNF266,6.29E-07,6.201349355
KCND3,6.43E-07,6.191789027
PRELP,6.60E-07,6.180456064
IL17C,6.63E-07,6.178486472
RBMX2,6.63E-07,6.178486472
GSR,6.84E-07,6.164943898
PCDH7,6.84E-07,6.164943898
PPFIBP1,7.27E-07,6.138465589
SYNGAP1,7.50E-07,6.124938737
PTPRA,8.41E-07,6.075204004
CBX3,9.22E-07,6.035269079
HIST1H1A,1.05E-06,5.978810701
RRN3P3,1.06E-06,5.974694135
ATP5G2,1.15E-06,5.93930216
DRC7,1.15E-06,5.93930216
DUT,1.30E-06,5.886056648
ARMC6,1.41E-06,5.850780887
MARK2,1.41E-06,5.850780887
PRKCB,1.42E-06,5.847711656
C15orf27,1.54E-06,5.812479279
SLCO1A2,1.54E-06,5.812479279
C1orf210,1.59E-06,5.798602876
NFIC,1.63E-06,5.787812396
NRARP,1.69E-06,5.772113295
AHDC1,1.72E-06,5.764471553
HNRNPK,1.77E-06,5.752026734
USF2,1.82E-06,5.739928612
FSTL4,1.84E-06,5.735182177
KRTAP10-2,1.89E-06,5.723538196
MAGEA2,1.89E-06,5.723538196
EDN3,1.97E-06,5.705533774
TSPAN14///NUPL1,2.00E-06,5.698970004
MMP28,2.15E-06,5.66756154
KLLN,2.19E-06,5.659555885
FDXACB1,2.49E-06,5.603800653
VWA5B1,2.49E-06,5.603800653
COA3,2.55E-06,5.59345982
RPRML,2.55E-06,5.59345982
SP5,2.55E-06,5.59345982
TMEM68,2.55E-06,5.59345982
C3orf35,2.69E-06,5.57024772
GLI4,2.82E-06,5.549750892
RBM48,3.02E-06,5.519993057
MRGPRD,3.10E-06,5.508638306
TMEM159,3.30E-06,5.48148606
CTNNB1,3.59E-06,5.444905551
DTX2,3.59E-06,5.444905551
MUC6,3.59E-06,5.444905551
PILRA,3.59E-06,5.444905551
FAM65C,3.72E-06,5.42945706
TTC7B,3.72E-06,5.42945706
NUDT4P1,3.99E-06,5.399027104
CYB561,4.04E-06,5.393618635
MTPN,4.35E-06,5.361510743
GNG13,4.37E-06,5.359518563
ZNF788,4.59E-06,5.338187314
PPID,4.64E-06,5.333482019
CYP8B1,4.93E-06,5.307153081
LRP2BP,5.28E-06,5.277366077
NFATC1,5.28E-06,5.277366077
PLLP,5.28E-06,5.277366077
PLLP,5.28E-06,5.277366077
SMIM10,5.28E-06,5.277366077
P2RX6,5.33E-06,5.273272791
CHRDL1,5.34E-06,5.272458743
INSM1,5.34E-06,5.272458743
PPIL2,5.73E-06,5.241845378
FASTK,5.95E-06,5.225483034
OR4D6,5.95E-06,5.225483034
TP53BP2,6.05E-06,5.218244625
CT55,6.40E-06,5.193820026
SS18,6.52E-06,5.185752404
LGI3,6.83E-06,5.165579296
EDN3,6.86E-06,5.163675884
PHYHIP,7.04E-06,5.152427341
ANKFN1,7.14E-06,5.146301788
EXPH5,7.14E-06,5.146301788
FBRS,7.14E-06,5.146301788
RTP2,7.19E-06,5.14327111
N4BP3,7.37E-06,5.132532512
ORAI3,7.37E-06,5.132532512
RAET1K,7.39E-06,5.131355562
IDO2,7.78E-06,5.109020403
PIK3R6,7.88E-06,5.103473783
CAMSAP3,7.95E-06,5.099632871
PCDH7,8.25E-06,5.083546051
HIST1H2AG,8.27E-06,5.08249449
IL9,8.27E-06,5.08249449
PER1,8.29E-06,5.081445469
ATP6V0D2,8.44E-06,5.073657553
PRR14L,8.44E-06,5.073657553
SLC37A1,8.44E-06,5.073657553
SNX15,8.44E-06,5.073657553
EMX2,8.45E-06,5.073143291
EPHA8,8.62E-06,5.064492734
KCNJ13,8.62E-06,5.064492734
SNORA71C,8.62E-06,5.064492734
C10orf67,9.06E-06,5.042871802
PTGER2,9.19E-06,5.036684489
ISYNA1,9.26E-06,5.033389013
ELP5,9.47E-06,5.023650021
NBPF11,9.50E-06,5.022276395
TEKT3,9.50E-06,5.022276395
LINC00265,9.63E-06,5.016373713
PTGDR2,9.63E-06,5.016373713
CHST1,9.78E-06,5.009661145
CAPZA1,9.83E-06,5.007446482
CMTM3,9.83E-06,5.007446482
CTNNBIP1,9.83E-06,5.007446482
OR2A14,9.83E-06,5.007446482
RNA28S5,9.83E-06,5.007446482
TMTC3,9.83E-06,5.007446482
TSLP,9.83E-06,5.007446482
HNRNPC,1.00E-05,5
