name;prize;penalty
Complex7992;0.75;10
Complex8005;0.75;10
Complex8022;0.75;10
Complex7990;0.75;10
Complex7987;0.75;10
Complex8024;0.75;10
Complex7079;0.75;10
Complex7996;0.75;10
Complex8027;0.75;10
Complex8026;0.75;10
Complex8039;0.75;10
Complex1048;0.75;10
Complex8028;0.75;10
Complex7989;0.75;10
Complex7988;0.75;10
Complex8036;0.75;10
Complex8015;0.75;10
Complex7983;0.75;10
Complex7982;0.75;10
Complex7981;0.75;10
Complex7980;0.75;10
Complex8025;0.75;10
Complex7986;0.75;10
Complex7985;0.75;10
Complex7984;0.75;10
Complex8007;0.75;10
Complex8006;0.75;10
Complex8049;0.75;10
Complex8048;0.75;10
Complex8003;0.75;10
Complex8002;0.75;10
Complex8001;0.75;10
Complex8000;0.75;10
Complex8043;0.75;10
Complex8042;0.75;10
Complex8041;0.75;10
Complex8040;0.75;10
Complex8047;0.75;10
Complex8046;0.75;10
Complex8045;0.75;10
Complex8011;0.75;10
Complex8029;0.75;10
Complex8020;0.75;10
Complex8013;0.75;10
Complex7979;0.75;10
Complex8004;0.75;10
Complex2139;0.75;10
Complex7997;0.75;10
Complex4371;0.75;10
Complex4370;0.75;10
Complex4372;0.75;10
Complex7994;0.75;10
Complex7993;0.75;10
Complex7998;0.75;10
Complex7999;0.75;10
Complex8038;0.75;10
Complex8023;0.75;10
Complex1130;0.75;10
Complex7991;0.75;10
Complex8034;0.75;10
Complex8035;0.75;10
Complex8032;0.75;10
Complex8033;0.75;10
Complex8030;0.75;10
Complex8031;0.75;10
Complex8014;0.75;10
Complex8021;0.75;10
Complex8016;0.75;10
Complex8017;0.75;10
Complex8010;0.75;10
Complex8009;0.75;10
Complex8012;0.75;10
Complex8037;0.75;10
Complex8050;0.75;10
Complex8008;0.75;10
Complex8018;0.75;10
Complex8019;0.75;10
Complex7995;0.75;10
Protein17124;0.75;10
SmallMolecule361;0.75;10
Protein17126;0.75;10
Protein17127;0.75;10
Protein17120;0.75;10
Protein17121;0.75;10
Protein17122;0.75;10
Protein17125;0.75;10
Protein8673;0.75;10
Protein17128;0.75;10
Protein17129;0.75;10
Protein7697;0.75;10
Protein17083;0.75;10
Protein17082;0.75;10
Protein8934;0.75;10
Protein17080;0.75;10
Protein8932;0.75;10
Protein8933;0.75;10
Protein8930;0.75;10
Protein8931;0.75;10
Protein2726;0.75;10
Protein17089;0.75;10
Protein17088;0.75;10
Protein12537;0.75;10
Dna307;0.75;10
Protein2703;0.75;10
Protein7267;0.75;10
Protein2544;0.75;10
Protein7309;0.75;10
Protein2728;0.75;10
Protein17123;0.75;10
Protein2547;0.75;10
Protein17151;0.75;10
Protein17150;0.75;10
Protein15914;0.75;10
Protein2546;0.75;10
Protein17028;0.75;10
Protein2707;0.75;10
SmallMolecule123;0.75;10
SmallMolecule124;0.75;10
Protein2540;0.75;10
Protein17137;0.75;10
Protein17136;0.75;10
Protein17135;0.75;10
Protein17134;0.75;10
Protein17133;0.75;10
Protein2543;0.75;10
Protein17131;0.75;10
Protein17130;0.75;10
Protein17045;0.75;10
Protein2542;0.75;10
Protein17139;0.75;10
Protein17138;0.75;10
Protein17032;0.75;10
Protein16720;0.75;10
Dna309;0.75;10
Protein17085;0.75;10
Protein7286;0.75;10
Protein2732;0.75;10
Protein2466;0.75;10
Protein2467;0.75;10
Protein2465;0.75;10
Protein17081;0.75;10
SmallMolecule721;0.75;10
Protein2534;0.75;10
SmallMolecule138;0.75;10
Protein1751;0.75;10
Protein1750;0.75;10
Protein1753;0.75;10
Protein2535;0.75;10
Protein17084;0.75;10
Protein17087;0.75;10
Protein2730;0.75;10
Protein2733;0.75;10
Protein17102;0.75;10
Protein17103;0.75;10
Protein17100;0.75;10
Protein2731;0.75;10
Protein17106;0.75;10
Protein17107;0.75;10
Protein17104;0.75;10
PhysicalEntity1244;0.75;10
Protein1491;0.75;10
Protein2736;0.75;10
Protein17108;0.75;10
Protein17109;0.75;10
Protein7299;0.75;10
Protein2737;0.75;10
Protein2734;0.75;10
Protein2735;0.75;10
Protein1748;0.75;10
Protein1749;0.75;10
Protein17110;0.75;10
Protein1742;0.75;10
Protein1743;0.75;10
Protein1740;0.75;10
Protein1741;0.75;10
Protein1746;0.75;10
Protein1747;0.75;10
Protein1744;0.75;10
Protein1745;0.75;10
Protein2545;0.75;10
Protein17037;0.75;10
Protein17034;0.75;10
Protein17035;0.75;10
Protein2541;0.75;10
Protein17033;0.75;10
Protein17030;0.75;10
Protein17031;0.75;10
Dna308;0.75;10
Protein2524;0.75;10
Protein2709;0.75;10
Protein2708;0.75;10
Protein2549;0.75;10
Protein2548;0.75;10
Protein17038;0.75;10
Protein17039;0.75;10
Protein17054;0.75;10
Protein17055;0.75;10
Protein17056;0.75;10
Protein17057;0.75;10
Protein17050;0.75;10
Protein17051;0.75;10
Protein17052;0.75;10
Protein17053;0.75;10
Protein7280;0.75;10
Protein1752;0.75;10
Protein17058;0.75;10
Protein17059;0.75;10
Protein15492;0.75;10
Protein1739;0.75;10
Protein7269;0.75;10
Protein7268;0.75;10
Protein15380;0.75;10
SmallMolecule362;0.75;10
Protein15095;0.75;10
SmallMolecule1223;0.75;10
Protein7266;0.75;10
SmallMolecule363;0.75;10
Protein8965;0.75;10
Protein17090;0.75;10
Protein8967;0.75;10
Protein8966;0.75;10
SmallMolecule357;0.75;10
Protein1567;0.75;10
Protein17091;0.75;10
Protein2550;0.75;10
Protein2551;0.75;10
Protein1489;0.75;10
Protein8968;0.75;10
Protein1730;0.75;10
Protein2710;0.75;10
Protein2527;0.75;10
Protein2712;0.75;10
Protein2713;0.75;10
Protein2714;0.75;10
Protein2522;0.75;10
Protein2716;0.75;10
Protein2526;0.75;10
Protein17029;0.75;10
Protein2719;0.75;10
Protein2525;0.75;10
Dna311;0.75;10
Dna310;0.75;10
Protein17047;0.75;10
Protein17046;0.75;10
Protein887;0.75;10
Protein17044;0.75;10
Protein17043;0.75;10
Protein17042;0.75;10
Protein17041;0.75;10
Protein17040;0.75;10
Protein2523;0.75;10
Protein17036;0.75;10
Protein17049;0.75;10
Protein17048;0.75;10
Protein7278;0.75;10
Protein8929;0.75;10
Protein17101;0.75;10
Protein1565;0.75;10
Protein1722;0.75;10
Protein1810;0.75;10
Protein7270;0.75;10
Protein1490;0.75;10
Protein2520;0.75;10
Protein7275;0.75;10
Dna306;0.75;10
SmallMolecule364;0.75;10
Protein1728;0.75;10
Protein1729;0.75;10
Protein2529;0.75;10
Protein2528;0.75;10
Protein1724;0.75;10
Protein1725;0.75;10
Protein1726;0.75;10
Protein1727;0.75;10
Protein1720;0.75;10
Protein1721;0.75;10
Protein2521;0.75;10
Protein1723;0.75;10
Protein2725;0.75;10
Protein2706;0.75;10
Protein2727;0.75;10
Protein17152;0.75;10
Protein2721;0.75;10
Protein17118;0.75;10
Protein2723;0.75;10
Protein2722;0.75;10
Protein17115;0.75;10
Protein17119;0.75;10
Protein17117;0.75;10
Protein17116;0.75;10
Protein2729;0.75;10
SmallMolecule2735;0.75;10
Protein17113;0.75;10
Protein2720;0.75;10
Protein17072;0.75;10
Protein17073;0.75;10
Protein17070;0.75;10
Protein17071;0.75;10
Protein15917;0.75;10
Protein15916;0.75;10
Protein15915;0.75;10
Protein1844;0.75;10
Protein17078;0.75;10
Protein17079;0.75;10
Protein2705;0.75;10
Protein2704;0.75;10
Protein7187;0.75;10
Protein17132;0.75;10
Protein17114;0.75;10
Protein7180;0.75;10
