#hypernode	nodes
Complex7992	Protein17089;Protein17085
Complex8005	Protein17089;Protein17107
Complex8022	Protein17054;Protein17117;Protein17068
Complex7990	Protein17074;PhysicalEntity1243
Complex7987	Protein17066
Complex8024	Protein15380;Protein17068
Complex7079	Protein2466;Protein2467;Protein1705;Protein2465
Complex7996	Protein17091;Protein7269;Protein7268;Protein7270;Protein7267;Protein7266
Complex8027	Protein7250
Complex8026	Protein15492;Protein887;Protein17066
Complex8039	Protein16720;Protein17140
Complex1048	Protein2551;Protein2518;Protein2519;Protein2529;Protein2528;Protein2509;Protein2508;Protein2525;Protein2524;Protein2523;Protein2522;Protein2521;Protein2520;Protein2545;Protein2544;Protein2547;Protein2546;Protein2541;Protein2540;Protein2543;Protein2542;Protein2549;Protein2548;Protein2512;Protein2513;Protein2516;Protein2517;Protein2514;Protein2515;Protein2538;Protein2539;Protein2510;Protein2511;Protein2534;Protein2535;Protein2536;Protein2537;Protein2530;Protein2531;Protein2532;Protein2533;Protein2527;Protein2526;Protein2550
Complex8028	Protein7250;Protein17123
Complex7989	Protein17073;Protein17069
Complex7988	Protein17067
Complex8036	Protein17127;Protein17128;Protein17129;Protein17130
Complex8015	Protein17114;Protein17089
Complex7983	Protein17052;Protein15914
Complex7982	Protein17045;Protein17051
Complex7981	Protein17050;Protein15914
Complex7980	Protein17045;Protein17049
Complex8025	Protein15380;Protein17119
Complex7986	Protein8934;Protein8932;Protein8933;Protein1810;Protein8929;Protein17058
Complex7985	Protein17036;Protein8934;Protein8932;Protein8933;Protein1810;Protein8929
Complex7984	Protein17036;Protein8929
Complex8007	Protein17109;Dna307
Complex8006	Protein17109;Dna306
Complex8049	Protein17070;Protein15095;Protein12381
Complex8048	Protein17149;Protein1710;Complex8044;Protein17147
Complex8003	Protein17089;Protein17105
Complex8002	Protein17089;Protein17104
Complex8001	Protein17089;Protein17088
Complex8000	SmallMolecule364;Protein17095
Complex8043	Protein1710;Protein17147;Complex8044
Complex8042	Dna309;Protein17141
Complex8041	Protein17140;Dna307
