#id	name	features	celularLocation	elements	stoichiometry
Complex7979	NglycoAsn-Hh-precursors:P4HB	None	endoplasmic-reticulum-lumen	Protein17032;Protein1796	Protein17032:1.0;Protein1796:1.0
Complex7984	C-terminal-Hh-fragments:OS9/ERLEC1	None	endoplasmic-reticulum-lumen	Protein17036;Protein8929	Protein17036:1.0;Protein8929:1.0
Complex7985	C-terminal-Hh-fragments:ERLEC/OS9:SEL1:SYVN1dimer:DERL2:VCP-hexamer	None	endoplasmic-reticulum-membrane	Complex4370;Complex7984	Complex4370:1.0;Complex7984:1.0
Complex4370	SEL1:SYVN1-dimer:DERL2:VCP-hexamer	None	endoplasmic-reticulum-membrane	Complex4371;Complex4372;Protein8932;Protein8934	Complex4371:1.0;Complex4372:1.0;Protein8932:1.0;Protein8934:1.0
Complex4371	SYVN1-dimer	None	endoplasmic-reticulum-membrane	Protein8933	Protein8933:2.0
Complex4372	VCP-hexamer	None	cytosol	Protein1810	Protein1810:6.0
Complex7986	ub-C-terminal-Hh-fragments:ERLEC/OS9:SEL1:SYVN1dimer:DERL2:VCP-hexamer	None	endoplasmic-reticulum-membrane	Complex4370;Protein17058;Protein8929	Complex4370:1.0;Protein17058:1.0;Protein8929:1.0
Complex1048	26S-proteasome	None	cytosol	Protein2508;Protein2509;Protein2510;Protein2511;Protein2512;Protein2513;Protein2514;Protein2515;Protein2516;Protein2517;Protein2518;Protein2519;Protein2520;Protein2521;Protein2522;Protein2523;Protein2524;Protein2525;Protein2526;Protein2527;Protein2528;Protein2529;Protein2530;Protein2531;Protein2532;Protein2533;Protein2534;Protein2535;Protein2536;Protein2537;Protein2538;Protein2539;Protein2540;Protein2541;Protein2542;Protein2543;Protein2544;Protein2545;Protein2546;Protein2547;Protein2548;Protein2549;Protein2550;Protein2551	Protein2508:1.0;Protein2509:1.0;Protein2510:1.0;Protein2511:1.0;Protein2512:1.0;Protein2513:1.0;Protein2514:1.0;Protein2515:1.0;Protein2516:1.0;Protein2517:1.0;Protein2518:1.0;Protein2519:1.0;Protein2520:1.0;Protein2521:1.0;Protein2522:1.0;Protein2523:1.0;Protein2524:1.0;Protein2525:1.0;Protein2526:1.0;Protein2527:1.0;Protein2528:1.0;Protein2529:1.0;Protein2530:1.0;Protein2531:1.0;Protein2532:1.0;Protein2533:1.0;Protein2534:1.0;Protein2535:1.0;Protein2536:1.0;Protein2537:1.0;Protein2538:1.0;Protein2539:1.0;Protein2540:1.0;Protein2541:1.0;Protein2542:1.0;Protein2543:1.0;Protein2544:1.0;Protein2545:1.0;Protein2546:1.0;Protein2547:1.0;Protein2548:1.0;Protein2549:1.0;Protein2550:1.0;Protein2551:1.0
Complex7980	Hh-Np:DISP2	None	plasma-membrane	Protein17045;Protein17049	Protein17045:1.0;Protein17049:1.0
Complex7981	Hh-Np:SCUBE2	None	extracellular-region	Protein15914;Protein17050	Protein15914:1.0;Protein17050:1.0
Complex7982	Hh-Np:GPI-GPC5	None	plasma-membrane	Protein17045;Protein17051	Protein17045:1.0;Protein17051:1.0
Complex7983	Hh-Np:GPC5	None	extracellular-region	Protein15914;Protein17052	Protein15914:1.0;Protein17052:1.0
Complex7991	GLI:SUFU	None	ciliary-tip	Protein17075;Protein17079	Protein17075:1.0;Protein17079:1.0
Complex8037	p6S,-T-SMO-dimer:EVC2:EVC	None	ciliary-membrane	Complex8033;Complex8035	Complex8033:1.0;Complex8035:1.0
Complex8033	p6S,-T-SMO-dimer;pS588,-S590,-T593,-S595,-S611,-S615,-S616-SMO-dimer	None	ciliary-membrane	Protein17126	Protein17126:2.0
Complex8035	EVC2:EVC	None	ciliary-membrane	Protein17129;Protein17130	Protein17129:1.0;Protein17130:1.0
Complex8047	2p-GLI:SPOP:CUL3:RBX1	None	nucleoplasm	Complex8043;Protein17144	Complex8043:1.0;Protein17144:1.0
Complex8043	SPOP:CUL3:RBX1	None	nucleoplasm	Complex8044;Protein1710;Protein17147	Complex8044:1.0;Protein1710:2.0;Protein17147:2.0
Complex8045	SPOP-dimer	None	nucleoplasm	Protein17145	Protein17145:2.0
Complex8046	SPOP:SPOPL	None	nucleoplasm	Protein17145;Protein17146	Protein17145:1.0;Protein17146:1.0
Complex8048	ub-2p-GLI2,3:SPOP:CUL3:RBX1	None	nucleoplasm	Complex8043;Protein17149	Complex8043:1.0;Protein17149:1.0
Complex8038	ULK3:SUFU	None	ciliary-tip	Protein17079;Protein17131	Protein17079:1.0;Protein17131:1.0
Complex8042	2p-GLI1:HHIP-gene,PTCH2-gene,BOC-gene	None	nucleoplasm	Dna309;Protein17141	Dna309:1.0;Protein17141:1.0
Complex8041	2p-GLI:GLI1-gene	None	nucleoplasm	Dna307;Protein17140	Dna307:1.0;Protein17140:1.0
Complex8040	2p-GLI:PTCH1-gene	None	nucleoplasm	Dna306;Protein17140	Dna306:1.0;Protein17140:1.0
Complex7989	GLI:SUFU	None	cytosol	Protein17069;Protein17073	Protein17069:1.0;Protein17073:1.0
Complex8049	GLI1:NUMB:ITCH	None	cytosol	Complex8017;Protein17070	Complex8017:1.0;Protein17070:1.0
Complex8017	NUMB:ITCH	None	cytosol	Protein12381;Protein15095	Protein12381:1.0;Protein15095:1.0
Complex8050	ub-GLI1:NUMB:ITCH	None	cytosol	Complex8017;Protein17152	Complex8017:1.0;Protein17152:1.0
Complex8020	Hh-Npp:BOC:PTCH1	None	ciliary-membrane	Complex8019;Protein17054	Complex8019:1.0;Protein17054:1.0
Complex8019	BOC:PTCH1	None	ciliary-membrane	Protein17068;Protein17116	Protein17068:1.0;Protein17116:1.0
Complex8023	Hh-Npp:HHIP	None	ciliary-membrane	Protein17054;Protein17118	Protein17054:1.0;Protein17118:1.0
Complex8021	Hh-Npp:CDON:PTCH	None	ciliary-membrane	Protein12537;Protein17054;Protein17068	Protein12537:1.0;Protein17054:1.0;Protein17068:1.0
Complex8022	Hh-Npp:GAS1:PTCH	None	ciliary-membrane	Protein17054;Protein17068;Protein17117	Protein17054:1.0;Protein17068:1.0;Protein17117:1.0
Complex8039	CDC73:2p-GLI	None	nucleoplasm	Protein16720;Protein17140	Protein16720:1.0;Protein17140:1.0
