#id	controllingElements	controlledElements	controlType	catalysisdir	evidence	xref
Catalysis3822	Complex7979	BiochemicalReaction7654	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004175;Reactome-Database-ID-Release-55:5364643
Catalysis3826	Complex7985	BiochemicalReaction7664	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004842;Reactome-Database-ID-Release-55:5362410
Catalysis3823	Protein17044	BiochemicalReaction7655	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0008374;Reactome-Database-ID-Release-55:5358335
Catalysis3827	Complex7986	BiochemicalReaction7665	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0042626;Reactome-Database-ID-Release-55:5362432
Catalysis3828	Complex1048	BiochemicalReaction7666	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004175;Reactome-Database-ID-Release-55:68824
Catalysis3825	Protein8673	BiochemicalReaction7661	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004222;Reactome-Database-ID-Release-55:204233
Catalysis3824	Protein17053	BiochemicalReaction7660	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004629;Reactome-Database-ID-Release-55:5362369
Control904	Complex8037	BiochemicalReaction7718	ACTIVATION	None	None	Reactome-Database-ID-Release-55:5635876;Reactome:R-HSA-5635876
Control906	Protein17148	BiochemicalReaction7728	ACTIVATION	None	None	Reactome-Database-ID-Release-55:5635873;Reactome:R-HSA-5635873
Catalysis3850	Complex8047	BiochemicalReaction7729	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0061630;Reactome-Database-ID-Release-55:5635828
Control905	Complex8041	BiochemicalReaction7726	ACTIVATION	None	None	Reactome-Database-ID-Release-55:5635870;Reactome:R-HSA-5635870
Control903	Protein17074	BiochemicalReaction7717	ACTIVATION	None	None	Reactome-Database-ID-Release-55:5635874;Reactome:R-HSA-5635874
Catalysis3852	Complex8049	BiochemicalReaction7732	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0061630;Reactome-Database-ID-Release-55:5635830
Catalysis3849	PhysicalEntity1244	BiochemicalReaction7722	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004674;Reactome-Database-ID-Release-55:5635827
Catalysis3853	Complex1048	BiochemicalReaction7733	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004175;Reactome-Database-ID-Release-55:68824
Catalysis3848	Protein17131	BiochemicalReaction7720	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004674;Reactome-Database-ID-Release-55:5635824
Catalysis3851	Complex1130	BiochemicalReaction7730	ACTIVATION	None	None	GENE-ONTOLOGY:GO:0004175;Reactome-Database-ID-Release-55:174087
