#id	E	F	R	interactionType	E&Fstoichiometry	spontaneous	evidence	xref
BiochemicalReaction7654	Complex7979;SmallMolecule721	Protein17036;Protein1796;Protein8965	Catalysis3822	BiochemicalReaction	None	null	None	Pubmed:15163793;Pubmed:15292211;Pubmed:16282375;Pubmed:16611729;Pubmed:17126548;Pubmed:17507410;Pubmed:19081070;Pubmed:19603532;Pubmed:21357747;Pubmed:7885476;Pubmed:7985023;Pubmed:8689684;Pubmed:8824192;Pubmed:9593755;Reactome-Database-ID-Release-55:5358340;Reactome:R-HSA-5358340
BiochemicalReaction7662	Protein17036;Protein8929	Complex7984	None	BiochemicalReaction	None	null	None	Pubmed:18264092;Pubmed:18502753;Pubmed:18711132;Pubmed:19002207;Pubmed:19346256;Pubmed:21357747;Pubmed:23719536;Pubmed:23867461;Reactome-Database-ID-Release-55:5362437;Reactome:R-HSA-5362437
BiochemicalReaction7652	Protein17028	Protein17032	None	BiochemicalReaction	None	null	None	Pubmed:16335952;Pubmed:23867461;Reactome-Database-ID-Release-55:5362386;Reactome:R-HSA-5362386
BiochemicalReaction7663	Complex4370;Complex7984	Complex7985	None	BiochemicalReaction	None	null	None	Pubmed:18264092;Pubmed:18502753;Pubmed:18711132;Pubmed:19002207;Pubmed:21357747;Pubmed:23867461;Reactome-Database-ID-Release-55:5362441;Reactome:R-HSA-5362441
BiochemicalReaction7653	Protein17032;Protein1796	Complex7979	None	BiochemicalReaction	None	null	None	Pubmed:21257310;Pubmed:21357747;Reactome-Database-ID-Release-55:5358336;Reactome:R-HSA-5358336
BiochemicalReaction7664	Complex7985;Protein1716	Complex7986	Catalysis3826	BiochemicalReaction	None	null	None	Pubmed:21357747;Reactome-Database-ID-Release-55:5362412;Reactome:R-HSA-5362412
BiochemicalReaction7655	Protein8965;SmallMolecule3178	Protein17040;SmallMolecule1223	Catalysis3823	BiochemicalReaction	None	null	None	Pubmed:10984056;Pubmed:11486055;Pubmed:15075292;Pubmed:18534984;Pubmed:20585641;Pubmed:23112049;Pubmed:24784881;Pubmed:9593755;Reactome-Database-ID-Release-55:5358343;Reactome:R-HSA-5358343
BiochemicalReaction7665	Complex7986;SmallMolecule123;SmallMolecule138	Complex4370;Protein17062;Protein8929;SmallMolecule124;SmallMolecule2735	Catalysis3827	BiochemicalReaction	SmallMolecule123:6.0;SmallMolecule124:6.0;SmallMolecule138:6.0;SmallMolecule2735:6.0	null	None	Pubmed:19002207;Pubmed:21357747;Pubmed:23867461;Reactome-Database-ID-Release-55:5362459;Reactome:R-HSA-5362459
BiochemicalReaction7656	Protein17040	Protein17045	None	BiochemicalReaction	None	null	None	Pubmed:21257310;Pubmed:23719536;Reactome-Database-ID-Release-55:5362549;Reactome:R-HSA-5362549
BiochemicalReaction7666	Protein17062	Protein1716	Catalysis3828	BiochemicalReaction	None	null	None	Pubmed:21357747;Pubmed:23867461;Reactome-Database-ID-Release-55:5362448;Reactome:R-HSA-5362448
