#id	displayname	altnames	altIDs	elementtype	features	cellularLocation
Protein1796	PDI	PDIA1;ERBA2L;P4HB;PO4DB	Reactome:R-HSA-174692;UniProt:P07237	protein	Fragment:18-508	endoplasmic-reticulum-lumen
Protein17033	SHH	SHH	Reactome:R-HSA-5362384;UniProt:Q15465	protein	[half-cystine]@198;[N4-glycosyl-L-asparagine]@278;Fragment:24-462	endoplasmic-reticulum-lumen
Protein17034	DHH	DHH	Reactome:R-HSA-5362388;UniProt:O43323	protein	[half-cystine]@199;[N4-glycosyl-L-asparagine]@null;Fragment:23-396	endoplasmic-reticulum-lumen
Protein17035	IHH-precursor	IHH	Reactome:R-HSA-5362390;UniProt:Q14623	protein	[half-cystine]@203;[N4-glycosyl-L-asparagine]@282;Fragment:28-411	endoplasmic-reticulum-lumen
Protein8966	CHOL-SHH(24-197)	SHH	Reactome:R-HSA-5358296;UniProt:Q15465	protein	[glycine-cholesterol-ester]@197;Fragment:24-197	endoplasmic-reticulum-lumen
Protein8967	CHOL-DHH(23-198)	DHH	Reactome:R-HSA-5358291;UniProt:O43323	protein	[glycine-cholesterol-ester]@198;Fragment:23-198	endoplasmic-reticulum-lumen
Protein8968	CHOL-IHH(28-202)	IHH	Reactome:R-HSA-5358293;UniProt:Q14623	protein	[glycine-cholesterol-ester]@202;Fragment:28-202	endoplasmic-reticulum-lumen
Protein17037	N4glycoAsn-SHH(198-462)	SHH	Reactome:R-HSA-5358289;UniProt:Q15465	protein	[N4-glycosyl-L-asparagine]@278;Fragment:198-462	endoplasmic-reticulum-lumen
Protein17038	N4glycoAsn-DHH(199-396)	DHH	Reactome:R-HSA-5358287;UniProt:O43323	protein	[N4-glycosyl-L-asparagine]@null;Fragment:199-396	endoplasmic-reticulum-lumen
Protein17039	N4glycoAsn-IHH(203-411)	IHH	Reactome:R-HSA-5358290;UniProt:Q14623	protein	[N4-glycosyl-L-asparagine]@282;Fragment:203-411	endoplasmic-reticulum-lumen
SmallMolecule721	cholesterol	cholest-5-en-3beta-ol;cholesterol	ChEBI:CHEBI:16113;Reactome:R-ALL-174672	small-molecule	None	endoplasmic-reticulum-lumen
Protein8930	ERLEC1	ERLEC1;C2orf30;XTP3TPB;UNQ1878/PRO4321	Reactome:R-HSA-5362354;UniProt:Q96DZ1	protein	Fragment:34-483	endoplasmic-reticulum-quality-control-compartment
Protein8931	OS9	OS9	Reactome:R-HSA-1022132;UniProt:Q13438	protein	Fragment:26-667	endoplasmic-reticulum-membrane
Protein17029	SHH	SHH	Reactome:R-HSA-5358280;UniProt:Q15465	protein	[half-cystine]@198;Fragment:24-462	endoplasmic-reticulum-lumen
Protein17030	DHH	DHH	Reactome:R-HSA-5358275;UniProt:O43323	protein	[half-cystine]@199;Fragment:23-396	endoplasmic-reticulum-lumen
Protein17031	IHH-precursor	IHH	Reactome:R-HSA-5358277;UniProt:Q14623	protein	[half-cystine]@203;Fragment:28-411	endoplasmic-reticulum-lumen
Protein8932	SEL1L	TSA305;SEL1L;UNQ128/PRO1063	Reactome:R-HSA-1911545;UniProt:Q9UBV2	protein	Fragment:22-794	endoplasmic-reticulum-membrane
Protein8933	SYVN1	KIAA1810;HRD1;SYVN1	Reactome:R-HSA-535496;UniProt:Q86TM6	protein	Fragment:1-617	endoplasmic-reticulum-membrane
Protein1810	VCP	VCP	Reactome:R-HSA-1181251;UniProt:P55072	protein	Fragment:2-806	cytosol
Protein8934	DER2	FLANA;SBBI53;DERL2;CGI-101;DER2	Reactome:R-HSA-5362350;UniProt:Q9GZP9	protein	Fragment:1-239	endoplasmic-reticulum-membrane
Protein17060	ub-N4glycoAsn-DHH(199-396)	DHH	Reactome:R-HSA-5362411;UniProt:O43323	protein	[N4-glycosyl-L-asparagine]@null;[ubiquitinylated-lysine]@null;Fragment:199-396	endoplasmic-reticulum-lumen
Protein17061	ub-N4glycoAsn-IHH(203-411)	IHH	Reactome:R-HSA-5362417;UniProt:Q14623	protein	[N4-glycosyl-L-asparagine]@282;[ubiquitinylated-lysine]@null;Fragment:203-411	endoplasmic-reticulum-lumen
Protein17059	ub-N4glycoAsn-SHH(198-462)	SHH	Reactome:R-HSA-5362416;UniProt:Q15465	protein	[N4-glycosyl-L-asparagine]@278;[ubiquitinylated-lysine]@null;Fragment:198-462	endoplasmic-reticulum-lumen
Protein1718	UBA52	UBCEP2;UBA52	Reactome:R-HSA-939203;UniProt:P62987	protein	Fragment:1-76	cytosol
Protein1729	UBC(533-608)	UBC	Reactome:R-HSA-939239;UniProt:P0CG48	protein	Fragment:533-608	cytosol
Protein1717	RPS27A	UBA80;RPS27A;UBCEP1	Reactome:R-HSA-939205;UniProt:P62979	protein	Fragment:1-76	cytosol
Protein1728	UBC(457-532)	UBC	Reactome:R-HSA-939184;UniProt:P0CG48	protein	Fragment:457-532	cytosol
Protein1727	UBC(381-456)	UBC	Reactome:R-HSA-939191;UniProt:P0CG48	protein	Fragment:381-456	cytosol
Protein1726	UBC(305-380)	UBC	Reactome:R-HSA-939232;UniProt:P0CG48	protein	Fragment:305-380	cytosol
Protein1719	UBB	UBB	Reactome:R-HSA-939214;UniProt:P0CG47	protein	Fragment:1-76	cytosol
Protein1721	UBB(153-228)	UBB	Reactome:R-HSA-939230;UniProt:P0CG47	protein	Fragment:153-228	cytosol
Protein1720	UBB(77-152)	UBB	Reactome:R-HSA-939213;UniProt:P0CG47	protein	Fragment:77-152	cytosol
Protein1730	UBC(609-684)	UBC	Reactome:R-HSA-939165;UniProt:P0CG48	protein	Fragment:609-684	cytosol
Protein1725	UBC(229-304)	UBC	Reactome:R-HSA-939192;UniProt:P0CG48	protein	Fragment:229-304	cytosol
Protein1724	UBC(153-228)	UBC	Reactome:R-HSA-939258;UniProt:P0CG48	protein	Fragment:153-228	cytosol
Protein1723	UBC(77-152)	UBC	Reactome:R-HSA-939164;UniProt:P0CG48	protein	Fragment:77-152	cytosol
Protein1722	UBC	UBC	Reactome:R-HSA-939188;UniProt:P0CG48	protein	Fragment:1-76	cytosol
Protein17044	HHAT	HHAT;SKI1;MART2	Reactome:R-HSA-5358317;UniProt:Q5VTY9	protein	Fragment:1-493	endoplasmic-reticulum-membrane
SmallMolecule1223	CoA-SH	coenzyme-A	ChEBI:CHEBI:15346;Reactome:R-ALL-162743	small-molecule	None	endoplasmic-reticulum-lumen
Protein17041	SHH	SHH	Reactome:R-HSA-5362447;UniProt:Q15465	protein	[glycine-cholesterol-ester]@197;[N-palmitoyl-L-cysteine]@24;Fragment:24-197	endoplasmic-reticulum-lumen
Protein17042	DHH	DHH	Reactome:R-HSA-5362442;UniProt:O43323	protein	[glycine-cholesterol-ester]@198;[N-palmitoyl-L-cysteine]@23;Fragment:23-198	endoplasmic-reticulum-lumen
Protein17043	IHH	IHH	Reactome:R-HSA-5362445;UniProt:Q14623	protein	[glycine-cholesterol-ester]@202;[N-palmitoyl-L-cysteine]@28;Fragment:28-202	endoplasmic-reticulum-lumen
SmallMolecule3178	Palmitoyl-CoA	palmitoyl-CoA	ChEBI:CHEBI:15525;Reactome:R-ALL-5358339	small-molecule	None	endoplasmic-reticulum-lumen
